Frames,ThreadId,igToMmMsg_Send,Time,SensorId,RequestId,X,Y,Z,Roll,Pitch,Yaw,X Vel,Y Vel,Z Vel,RollVel,PitchVel,YawVel
83,140610502421504,false,1788547934.036,2,19845,-892.50,-61.48,-29.45,-26.77,-5.15,8.90,0.00,0.00,0.00,180.00,180.00,180.00
84,140610502421504,true,1788547934.052031,2,19845,35.27,-116.64,15000.00,0.00,-10.26,26.77,0.0,0.0,0.0,0.0,0.0,0.0
84,140610502421504,false,1788547934.053,2,19845,-892.59,-61.50,-29.50,-26.76,-5.17,8.88,0.00,0.00,0.00,180.00,180.00,180.00
85,140610502421504,true,1788547934.068616,2,19845,35.27,-116.64,15000.00,0.00,-10.26,26.76,0.0,0.0,0.0,0.0,0.0,0.0
85,140610502421504,false,1788547934.070,2,19847,-892.65,-61.45,-29.44,-26.74,-5.15,8.87,0.00,0.00,0.00,180.00,180.00,180.00
86,140610502421504,true,1788547934.085348,2,19847,35.27,-116.64,15000.00,0.00,-10.24,26.74,0.0,0.0,0.0,0.0,0.0,0.0
86,140610502421504,false,1788547934.086,2,19847,-892.76,-61.45,-29.42,-26.72,-5.14,8.86,0.00,0.00,0.00,180.00,180.00,180.00
87,140610502421504,true,1788547934.102245,2,19847,35.27,-116.64,15000.00,0.00,-10.23,26.72,0.0,0.0,0.0,0.0,0.0,0.0
87,140610502421504,false,1788547934.103,2,19849,-892.75,-61.38,-29.47,-26.72,-5.13,8.87,0.00,0.00,0.00,180.00,180.00,180.00
88,140610502421504,true,1788547934.118710,2,19849,35.27,-116.64,15000.00,0.00,-10.23,26.72,0.0,0.0,0.0,0.0,0.0,0.0
88,140610502421504,false,1788547934.120,2,19849,-892.84,-61.38,-29.47,-26.71,-5.12,8.88,0.00,0.00,0.00,180.00,180.00,180.00
89,140610502421504,true,1788547934.135275,2,19849,35.27,-116.64,15000.00,0.00,-10.24,26.71,0.0,0.0,0.0,0.0,0.0,0.0
89,140610502421504,false,1788547934.136,2,19851,-892.78,-61.40,-29.39,-26.71,-5.10,8.88,0.00,0.00,0.00,180.00,180.00,180.00
90,140610502421504,true,1788547934.152558,2,19851,35.27,-116.64,15000.00,0.00,-10.22,26.71,0.0,0.0,0.0,0.0,0.0,0.0
90,140610502421504,false,1788547934.153,2,19851,-892.85,-61.39,-29.48,-26.71,-5.13,8.87,0.00,0.00,0.00,180.00,180.00,180.00
91,140610502421504,true,1788547934.168794,2,19851,35.27,-116.64,15000.00,0.00,-10.23,26.71,0.0,0.0,0.0,0.0,0.0,0.0
91,140610502421504,false,1788547934.170,2,19853,-892.81,-61.46,-29.59,-26.67,-5.13,8.89,0.00,0.00,0.00,180.00,180.00,180.00
92,140610502421504,true,1788547934.185487,2,19853,35.27,-116.64,15000.00,0.00,-10.24,26.67,0.0,0.0,0.0,0.0,0.0,0.0
92,140610502421504,false,1788547934.186,2,19853,-892.87,-61.50,-29.66,-26.68,-5.12,8.89,0.00,0.00,0.00,180.00,180.00,180.00
93,140610502421504,true,1788547934.202231,2,19853,35.27,-116.64,15000.00,0.00,-10.25,26.68,0.0,0.0,0.0,0.0,0.0,0.0
93,140610502421504,false,1788547934.203,2,19855,-892.86,-61.60,-29.80,-26.68,-5.15,8.89,0.00,0.00,0.00,180.00,180.00,180.00
94,140610502421504,true,1788547934.218840,2,19855,35.27,-116.64,15000.00,0.00,-10.25,26.68,0.0,0.0,0.0,0.0,0.0,0.0
94,140610502421504,false,1788547934.220,2,19855,-892.92,-61.67,-29.85,-26.68,-5.16,8.90,0.00,0.00,0.00,180.00,180.00,180.00
95,140610502421504,true,1788547934.235264,2,19855,35.27,-116.64,15000.00,0.00,-10.27,26.68,0.0,0.0,0.0,0.0,0.0,0.0
96,140610502421504,true,1788547934.252119,2,19855,35.27,-116.64,15000.00,0.00,-10.27,26.68,0.0,0.0,0.0,0.0,0.0,0.0
